time_frame,symptom,cancer_site,num_cancer,num_staged_cancer,stage,n_by_stage,Mean (SD) time (months) from symptom to diagnosis,Median (LQ-UQ) time (months) from symptom to diagnosis,Ninety percentile time (months) from symptom to diagnosis
Cancer diagnosis within 6 months of the symptom ,HTA,Overall,"11,810 (1.4%)","9,119 (1.1%)",Overall,,59.4 (46.1),46.0 (23.0-86.0),133
,HTA,Overall,,,1,"1,458 (16.0%)",75.4 (48.8),67.0 (35.0-111.0),153
,HTA,Overall,,,2,"1,393 (15.3%)",65.0 (47.0),55.0 (27.0-96.0),139
,HTA,Overall,,,3,"2,098 (23.0%)",57.7 (44.1),46.0 (24.0-81.0),128
,HTA,Overall,,,4,"4,170 (45.7%)",49.5 (41.0),37.0 (19.0-68.0),113
,HTA,Bone and Connective Tissue,257 (0.0%),141 (0.0%),Overall,,63.3 (47.3),49.0 (24.0-101.0),139
,HTA,Bone and Connective Tissue,,,1,16 (11.3%),63.1 (51.6),47.5 (22.5-82.0),170
,HTA,Bone and Connective Tissue,,,2,20 (14.2%),76.2 (51.7),55.0 (34.0-111.5),158
,HTA,Bone and Connective Tissue,,,3,60 (42.6%),58.6 (45.3),40.0 (24.5-90.5),139.5
,HTA,Bone and Connective Tissue,,,4,45 (31.9%),53.4 (39.9),41.0 (22.0-76.0),117
,HTA,Bowel,"2,451 (0.3%)","2,139 (0.2%)",Overall,,57.7 (44.7),46.0 (23.0-81.0),128
,HTA,Bowel,,,1,152 (7.1%),67.4 (46.0),59.0 (28.0-100.5),134
,HTA,Bowel,,,2,508 (23.7%),61.3 (46.4),50.0 (24.0-91.5),133
,HTA,Bowel,,,3,618 (28.9%),57.9 (43.8),48.0 (24.0-83.0),128
,HTA,Bowel,,,4,861 (40.3%),50.4 (41.1),39.0 (21.0-69.0),113
,HTA,Breast,477 (0.1%),393 (0.0%),Overall,,82.6 (54.1),77.0 (33.0-127.0),161
,HTA,Breast,,,1,178 (45.3%),93.5 (53.5),95.5 (48.0-140.0),167
,HTA,Breast,,,2,147 (37.4%),79.4 (53.3),71.0 (30.0-123.0),160
,HTA,Breast,,,3,20 (5.1%),69.8 (52.4),65.0 (22.5-108.5),145
,HTA,Breast,,,4,48 (12.2%),45.1 (38.7),34.0 (14.5-62.5),109
,HTA,CNS,52 (0.0%),2 (0.0%),Overall,,77.5 (47.5),76.5 (39.5-110.0),134
,HTA,CNS,,,1,0 (0.0%),,,
,HTA,CNS,,,2,1 (50.0%),4,4.0 (4.0-4.0),4
,HTA,CNS,,,3,1 (50.0%),42,42.0 (42.0-42.0),42
,HTA,CNS,,,4,0 (0.0%),,,
,HTA,Gastro-Oesophageal,"1,118 (0.1%)",934 (0.1%),Overall,,47.3 (41.7),33.0 (17.0-64.0),116
,HTA,Gastro-Oesophageal,,,1,65 (7.0%),55.5 (45.3),39.0 (21.0-91.0),125
,HTA,Gastro-Oesophageal,,,2,108 (11.6%),56.0 (48.1),38.5 (18.5-77.0),141
,HTA,Gastro-Oesophageal,,,3,272 (29.1%),44.0 (41.5),29.0 (14.0-56.5),112
,HTA,Gastro-Oesophageal,,,4,489 (52.4%),42.8 (38.2),30.0 (16.0-55.0),105
,HTA,Head and neck,98 (0.0%),72 (0.0%),Overall,,77.6 (47.4),75.5 (41.0-118.0),149
,HTA,Head and neck,,,1,11 (15.3%),84.4 (53.7),55.0 (41.0-155.0),160
,HTA,Head and neck,,,2,11 (15.3%),83.5 (54.1),88.0 (29.0-139.0),140
,HTA,Head and neck,,,3,4 (5.6%),99.8 (37.6),95.5 (70.5-129.0),147
,HTA,Head and neck,,,4,46 (63.9%),70.6 (47.9),68.5 (22.0-109.0),149
,HTA,Hepatobiliary,622 (0.1%),359 (0.0%),Overall,,56.0 (45.7),44.0 (20.0-79.0),131
,HTA,Hepatobiliary,,,1,23 (6.4%),69.2 (36.3),71.0 (38.0-91.0),107
,HTA,Hepatobiliary,,,2,46 (12.8%),65.9 (48.1),56.0 (25.0-92.0),141
,HTA,Hepatobiliary,,,3,54 (15.0%),62.9 (45.4),54.5 (24.0-92.0),122
,HTA,Hepatobiliary,,,4,236 (65.7%),52.7 (44.5),40.0 (20.0-76.0),129
,HTA,Leukaemia,249 (0.0%),31 (0.0%),Overall,,59.7 (54.2),40.0 (14.0-103.0),145
,HTA,Leukaemia,,,1,27 (87.1%),65.3 (54.2),54.0 (17.0-117.0),160
,HTA,Leukaemia,,,2,1 (3.2%),51,51.0 (51.0-51.0),51
,HTA,Leukaemia,,,3,0 (0.0%),,,
,HTA,Leukaemia,,,4,3 (9.7%),15.7 (14.3),19.0 (0.0-28.0),28
,HTA,Lung,"1,269 (0.1%)","1,117 (0.1%)",Overall,,55.8 (45.7),40.0 (22.0-79.0),130
,HTA,Lung,,,1,127 (11.4%),84.2 (52.0),80.0 (40.0-121.0),167
,HTA,Lung,,,2,67 (6.0%),57.9 (43.1),47.0 (23.0-93.0),129
,HTA,Lung,,,3,230 (20.6%),55.2 (45.5),37.0 (22.0-82.0),123
,HTA,Lung,,,4,693 (62.0%),48.0 (40.9),35.0 (19.0-62.0),112
,HTA,Lymphoma,669 (0.1%),557 (0.1%),Overall,,57.8 (44.0),45.0 (23.0-83.0),126
,HTA,Lymphoma,,,1,58 (10.4%),67.3 (49.2),53.0 (28.0-99.0),160
,HTA,Lymphoma,,,2,61 (11.0%),65.8 (45.9),55.0 (30.0-94.0),127
,HTA,Lymphoma,,,3,116 (20.8%),57.4 (41.3),48.5 (25.0-80.0),113
,HTA,Lymphoma,,,4,322 (57.8%),52.4 (42.3),38.0 (21.0-76.0),118
,HTA,Melanoma of skin,134 (0.0%),89 (0.0%),Overall,,78.0 (55.7),65.5 (33.0-127.0),164
,HTA,Melanoma of skin,,,1,54 (60.7%),77.3 (52.9),64.0 (37.0-126.0),158
,HTA,Melanoma of skin,,,2,19 (21.3%),73.9 (55.7),64.0 (33.0-113.0),174
,HTA,Melanoma of skin,,,3,8 (9.0%),118.5 (59.8),139.5 (73.5-165.5),178
,HTA,Melanoma of skin,,,4,8 (9.0%),80.6 (45.2),68.0 (55.0-94.0),177
,HTA,Multiple sites,67 (0.0%),25 (0.0%),Overall,,49.8 (42.2),37.0 (14.0-85.0),99
,HTA,Multiple sites,,,1,9 (36.0%),54.3 (31.5),55.0 (31.0-80.0),97
,HTA,Multiple sites,,,2,1 (4.0%),45,45.0 (45.0-45.0),45
,HTA,Multiple sites,,,3,5 (20.0%),24.0 (29.6),13.0 (9.0-19.0),76
,HTA,Multiple sites,,,4,10 (40.0%),47.0 (33.9),39.0 (15.0-80.0),97.5
,HTA,Myeloma,170 (0.0%),58 (0.0%),Overall,,61.5 (51.0),47.5 (19.0-102.0),133.5
,HTA,Myeloma,,,1,13 (22.4%),72.7 (54.9),67.0 (21.0-125.0),145
,HTA,Myeloma,,,2,22 (37.9%),81.4 (49.9),70.0 (42.0-128.0),154
,HTA,Myeloma,,,3,1 (1.7%),10,10.0 (10.0-10.0),10
,HTA,Myeloma,,,4,22 (37.9%),20.3 (21.8),18.0 (4.0-27.0),34
,HTA,Other,296 (0.0%),134 (0.0%),Overall,,66.0 (48.5),55.0 (23.5-101.0),142
,HTA,Other,,,1,25 (18.7%),76.4 (52.2),65.0 (33.0-103.0),160
,HTA,Other,,,2,18 (13.4%),70.1 (45.0),67.0 (26.0-109.0),127
,HTA,Other,,,3,55 (41.0%),60.8 (44.2),52.0 (28.0-85.0),130
,HTA,Other,,,4,36 (26.9%),68.6 (50.1),59.5 (26.5-112.0),138
,HTA,Ovarian,637 (0.1%),513 (0.1%),Overall,,55.5 (39.8),48.0 (26.0-74.0),115
,HTA,Ovarian,,,1,99 (19.3%),66.8 (35.9),62.0 (42.0-91.0),119
,HTA,Ovarian,,,2,28 (5.5%),69.1 (34.9),69.0 (45.5-93.0),108
,HTA,Ovarian,,,3,251 (48.9%),51.2 (37.2),44.0 (25.0-64.0),100
,HTA,Ovarian,,,4,135 (26.3%),50.6 (41.6),43.0 (21.0-64.0),115
,HTA,Pancreas,"1,233 (0.1%)","1,002 (0.1%)",Overall,,54.7 (41.7),44.0 (21.0-77.0),117
,HTA,Pancreas,,,1,50 (5.0%),61.0 (52.5),43.5 (20.0-97.0),147
,HTA,Pancreas,,,2,131 (13.1%),57.2 (41.6),48.0 (24.0-80.0),117
,HTA,Pancreas,,,3,136 (13.6%),62.9 (44.6),52.5 (29.5-82.0),137
,HTA,Pancreas,,,4,685 (68.4%),51.5 (38.8),44.0 (21.0-70.0),107
,HTA,Prostate,"1,018 (0.1%)",841 (0.1%),Overall,,60.3 (45.3),47.0 (26.0-85.0),133
,HTA,Prostate,,,1,262 (31.2%),72.6 (45.3),61.5 (35.0-109.0),139
,HTA,Prostate,,,2,120 (14.3%),68.4 (44.8),61.5 (31.5-92.0),139.5
,HTA,Prostate,,,3,152 (18.1%),63.9 (42.1),49.5 (33.0-86.0),132
,HTA,Prostate,,,4,307 (36.5%),42.8 (40.8),29.0 (15.0-51.0),115
,HTA,Renal Tract,800 (0.1%),551 (0.1%),Overall,,73.2 (47.1),65.0 (35.0-105.0),146
,HTA,Renal Tract,,,1,215 (39.0%),84.3 (46.5),78.0 (49.0-120.0),156
,HTA,Renal Tract,,,2,69 (12.5%),71.5 (43.2),64.0 (35.0-104.0),135
,HTA,Renal Tract,,,3,93 (16.9%),86.6 (45.3),79.0 (54.0-121.0),156
,HTA,Renal Tract,,,4,174 (31.6%),53.9 (40.8),45.0 (24.0-74.0),119
,HTA,Testis,10 (0.0%),7 (0.0%),Overall,,63.2 (47.0),63.0 (34.0-78.0),136.5
,HTA,Testis,,,1,2 (28.6%),51.5 (21.9),51.5 (36.0-67.0),67
,HTA,Testis,,,2,3 (42.9%),68.0 (9.2),66.0 (60.0-78.0),78
,HTA,Testis,,,3,1 (14.3%),34,34.0 (34.0-34.0),34
,HTA,Testis,,,4,1 (14.3%),1,1.0 (1.0-1.0),1
,HTA,Uterine,181 (0.0%),154 (0.0%),Overall,,72.1 (50.5),62.0 (31.0-112.0),150
,HTA,Uterine,,,1,72 (46.8%),71.5 (50.1),54.5 (34.0-105.0),156
,HTA,Uterine,,,2,12 (7.8%),78.6 (55.9),65.5 (32.5-114.5),170
,HTA,Uterine,,,3,21 (13.6%),74.8 (55.1),45.0 (31.0-116.0),154
,HTA,Uterine,,,4,49 (31.8%),59.1 (43.8),51.0 (23.0-86.0),130
Cancer diagnosis within 12 months of the symptom ,HTA,Overall,"14,655 (1.7%)","9,119 (1.1%)",Overall,,100.1 (95.7),62.0 (28.0-147.0),264
,HTA,Overall,,,1,"1,458 (16.0%)",75.4 (48.8),67.0 (35.0-111.0),153
,HTA,Overall,,,2,"1,393 (15.3%)",65.0 (47.0),55.0 (27.0-96.0),139
,HTA,Overall,,,3,"2,098 (23.0%)",57.7 (44.1),46.0 (24.0-81.0),128
,HTA,Overall,,,4,"4,170 (45.7%)",49.5 (41.0),37.0 (19.0-68.0),113
,HTA,Bone and Connective Tissue,306 (0.0%),141 (0.0%),Overall,,95.9 (89.1),62.0 (28.0-136.0),243
,HTA,Bone and Connective Tissue,,,1,16 (11.3%),63.1 (51.6),47.5 (22.5-82.0),170
,HTA,Bone and Connective Tissue,,,2,20 (14.2%),76.2 (51.7),55.0 (34.0-111.5),158
,HTA,Bone and Connective Tissue,,,3,60 (42.6%),58.6 (45.3),40.0 (24.5-90.5),139.5
,HTA,Bone and Connective Tissue,,,4,45 (31.9%),53.4 (39.9),41.0 (22.0-76.0),117
,HTA,Bowel,"2,895 (0.3%)","2,139 (0.2%)",Overall,,89.5 (87.9),56.0 (27.0-123.0),237
,HTA,Bowel,,,1,152 (7.1%),67.4 (46.0),59.0 (28.0-100.5),134
,HTA,Bowel,,,2,508 (23.7%),61.3 (46.4),50.0 (24.0-91.5),133
,HTA,Bowel,,,3,618 (28.9%),57.9 (43.8),48.0 (24.0-83.0),128
,HTA,Bowel,,,4,861 (40.3%),50.4 (41.1),39.0 (21.0-69.0),113
,HTA,Breast,812 (0.1%),393 (0.0%),Overall,,161.6 (108.5),150.0 (66.5-256.5),321
,HTA,Breast,,,1,178 (45.3%),93.5 (53.5),95.5 (48.0-140.0),167
,HTA,Breast,,,2,147 (37.4%),79.4 (53.3),71.0 (30.0-123.0),160
,HTA,Breast,,,3,20 (5.1%),69.8 (52.4),65.0 (22.5-108.5),145
,HTA,Breast,,,4,48 (12.2%),45.1 (38.7),34.0 (14.5-62.5),109
,HTA,CNS,93 (0.0%),2 (0.0%),Overall,,163.8 (109.9),134.0 (58.0-262.0),320
,HTA,CNS,,,1,0 (0.0%),,,
,HTA,CNS,,,2,1 (50.0%),4,4.0 (4.0-4.0),4
,HTA,CNS,,,3,1 (50.0%),42,42.0 (42.0-42.0),42
,HTA,CNS,,,4,0 (0.0%),,,
,HTA,Gastro-Oesophageal,"1,284 (0.2%)",934 (0.1%),Overall,,75.3 (84.8),39.0 (19.0-98.5),208
,HTA,Gastro-Oesophageal,,,1,65 (7.0%),55.5 (45.3),39.0 (21.0-91.0),125
,HTA,Gastro-Oesophageal,,,2,108 (11.6%),56.0 (48.1),38.5 (18.5-77.0),141
,HTA,Gastro-Oesophageal,,,3,272 (29.1%),44.0 (41.5),29.0 (14.0-56.5),112
,HTA,Gastro-Oesophageal,,,4,489 (52.4%),42.8 (38.2),30.0 (16.0-55.0),105
,HTA,Head and neck,167 (0.0%),72 (0.0%),Overall,,159.0 (110.2),137.0 (66.0-248.0),326
,HTA,Head and neck,,,1,11 (15.3%),84.4 (53.7),55.0 (41.0-155.0),160
,HTA,Head and neck,,,2,11 (15.3%),83.5 (54.1),88.0 (29.0-139.0),140
,HTA,Head and neck,,,3,4 (5.6%),99.8 (37.6),95.5 (70.5-129.0),147
,HTA,Head and neck,,,4,46 (63.9%),70.6 (47.9),68.5 (22.0-109.0),149
,HTA,Hepatobiliary,719 (0.1%),359 (0.0%),Overall,,85.2 (87.3),53.0 (23.0-114.0),237
,HTA,Hepatobiliary,,,1,23 (6.4%),69.2 (36.3),71.0 (38.0-91.0),107
